"","X","Year","Name.x","Event","Type","County","Form.of.government","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","Years.of.Potential.Life.Lost.Rate","Percent_FairOrPoor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","Precent.LBW","PercentSmokers","PercentObese","Food.Environment.Index","Percent.Physically.Inactive","Percent.With.AccessToExercise","PercentExcessive.Drinking","NumberChlamydia.Cases","Chlamydia.Rate","Teen.Births","Teen.Birth.Rate","PercentUninsured","NumberMedicare.Enrollees","PercentDiabetics","PercentReceiving.HbA1c","PercentUnemployed","PercentChildren.in.Poverty","PercentSingle.Parent.Households","NumberViolent.Crimes","Violent.Crime.Rate","T21year","MAYOR","LENGTH.OF.TERM","NEXT.ELECTION","mayor_ind","year_dummy","year_dummy-1","county_state_abb","Name.y","state_abb","pop16","pop16_labor_civil_empl","pop16_labor_civil_unempl","pop16_labor_civil","median_household_income","mean_household_income","pop_total_2015","male_2015","female_2015","white_male_2015","white_female_2015","black_male_2015","black_female_2015","hispanic_male_2015","hispanic_female_2015","educ_no_high_school_2000","votes_total_2012","votes_r_2012","votes_d_2012","prct_d_2012","prct_r_2012","votes_total_2016","prct_d_2016","prct_r_2016","votes_d_2016","votes_r_2016","tax"
"1800",3149,2017,"Otis",0,"Town","Berkshire","Open town meeting","1612.0",1773,NA,25003,"Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,NA,NA,NA,NA,0,2017,2016,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"1802",3157,2011,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,2011,2010,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1803",3158,2012,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,2012,2011,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1804",3159,2013,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,2013,2012,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1805",3160,2014,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,2014,2013,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1806",3161,2015,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,2015,2014,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1807",3162,2016,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,2016,2015,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1808",3163,2017,"Oxford",0,"Town","Worcester","Open town meeting","13709.0",1713,NA,25027,"Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,2017,2016,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1810",3171,2011,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",5008,7182.5,15.1,3.8,3.9,8.62,20.3,27.4,NA,NA,NA,18.7,NA,NA,5350,45.1,8.4,93531,1810,85.0276,9.7,23.8,41.7,10420,752,NA,NA,NA,NA,0,2011,2010,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"1811",3172,2012,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4881,6973.49,15.3,3.8,3.8,8.7,19.3,28.5,NA,26.4,NA,18.7,2385,517.5,5288,45.9,5.2,46476,4991,85.694249649,10.2,25.5,43.377030649,9590,701.50798615,NA,NA,NA,NA,0,2012,2011,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"1812",3173,2013,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4886,6847.84,15.1,3.7,3.8,8.7,18.6,28.5,NA,26.4,NA,19.3,2809,606.1,5200,41.644976575,6.3,46827,5148,87.043512044,9.2,25.4,44.048002503,3184,697.37338752,NA,NA,NA,NA,0,2013,2012,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,2.51
"1813",3174,2014,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4886,6847.84,15,3.8,3.9,8.6,18.8,29.2,8.0488191963,26.8,88.188310427,19.4,2833,610.8,5085,40.707355343,5.667968043,46760,5227,89.17160895,8.5248841592,30.5,45.425212328,3073.6666667,670.45873454,NA,NA,NA,NA,0,2014,2013,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"1814",3175,2015,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4893,6638.1,15,3.8,3.9,8.4917874641,18.8,28.9,7.9,26.7,94.161902091,19.4,2858,613.4,4875,39.143421496,4.876221,47241,5295,88.498583569,8.9212544119,29.3,47.336153803,2941,640.7816912,NA,NA,NA,NA,0,2015,2014,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"1815",3176,2016,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4897,6600.5,18.9,4.4,4.5,8.3991662592,18.3,28.5,7.9,26.1,93.56016311,18.2,2686,576.49010673,4537,36.719597274,5.0463916992,47586,5383,88.853798997,7.8189522307,26.2,47.351683919,2941,640.7816912,NA,NA,NA,NA,0,2016,2015,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"1816",3177,2017,"Palmer",0,"City","Hampden","Council-manager","12140.0",1775,NA,25013,"Massachusetts",4970,6486.4,18.605346606,4.4980706433,4.6422572462,8.2472879362,18.19831852,27.5,8,24.7,93.56016311,19.22387805,2375,508.2,4081,33.393612582,4.2016261345,47683,5305,90.518378888,6.7645011706,27.4,47.893761581,2790.6666667,604.90542753,NA,NA,NA,NA,0,2017,2016,"Hampden, MA","hampden","MA",372435,207957,25583,233540,50036,66866,470690,227373,243317,189600,202379,24433,26360,54201,58659,20.8,200399,73392,123619,61.69,36.62,206101,54.6285559022033,38.1778836589827,112590,78685,3.51
"1818",3185,2011,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,2011,2010,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1819",3186,2012,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,2012,2011,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1820",3187,2013,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,2013,2012,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,2.51
"1821",3188,2014,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,2014,2013,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1822",3189,2015,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,2015,2014,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1823",3190,2016,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,2016,2015,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1824",3191,2017,"Paxton",0,"Town","Worcester","Open town meeting","4806.0",1775,NA,25027,"Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,2017,2016,"Worcester, MA","worcester","MA",647366,398866,37308,436174,65453,83806,818963,403848,415115,350403,362288,23220,21743,44192,43936,16.5,369112,163390,198244,53.71,44.27,389951,50.975122515393,40.4363625173419,198778,157682,3.51
"1826",3199,2011,"Peabody",0,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2011,2010,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"1827",3200,2012,"Peabody",0,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2012,2011,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"1828",3201,2013,"Peabody",0,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6262,5062.28,13.3,3.1,3.1,7.7,15,23.6,NA,22.3,NA,19.3,2312,311.1,4299,24.172870606,5.5,79986,7037,88.887309933,7.8,16.9,31.600784286,2623,353.12398062,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2013,2012,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"1829",3202,2014,"Peabody",0,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6262,5062.28,13,3,3.2,7.6,14.1,23.5,8.6893315931,21.6,91.987851859,19.4,2469,329.7,4156,23.260369502,5.4333729687,84440,7605,89.21761999,7.1352123652,17.1,31.958980369,2684.3333333,359.8075367,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2014,2013,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"1830",3203,2015,"Peabody",0,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6450,5035.77,13,3,3.2,7.6378112138,14.1,24.2,8.5,20.3,96.711470897,19.4,2709,358.5,4009,22.401779178,4.8491653685,86259,7888,89.148073022,7.4639212686,16.9,33.364384595,2772,370.18571607,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2015,2014,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"1831",3204,2016,"Peabody",1,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6582,5076.9,16.1,3.7,3.8,7.5831402481,14.8,24.3,8.5,20.6,96.724792406,20.4,2883,381.54199609,3758,21.030011696,4.7736040545,88608,8376,90.604106972,5.9682391661,15.5,33.949005748,2772,370.18571607,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2016,2015,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"1832",3205,2017,"Peabody",2,"City","Essex","Mayor-council","51251.0",1868,"2016-01-01",25009,"Massachusetts",6885,5232.2,13.519249126,3.1882789865,3.9939707657,7.5189781901,14.623649328,25.5,8.6,20.5,96.724792406,19.052302415,2622,343.8,3438,19.291521943,3.9892544489,90769,8693,90.797193144,5.1584152071,16.6,34.150092026,2904,382.17465803,2016,"Ted Bettencourt","2 years","Nov. 7, 2017",1,2017,2016,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"1834",3213,2011,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1236,4907.1,10.4,3.5,3.1,6.35,14.7,21.3,NA,NA,NA,18.4,NA,NA,438,6.9,9.7,32125,513,88.694,6.6,10.1,25.1,1177,254.8,NA,NA,NA,NA,0,2011,2010,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"1835",3214,2012,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1260,5078.42,9.7,3.3,2.8,6.3,13.5,22.3,NA,17.1,NA,17.7,274,176.8,433,6.9,3.9,15964,1366,87.8477306,6.9,11.8,27.047547453,1167,253.83139679,NA,NA,NA,NA,0,2012,2011,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"1836",3215,2013,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1256,4923.87,9.7,3.2,2.7,6.7,12.6,22.3,NA,17.1,NA,17.9,320,202.4,392,5.8021639703,4.8,15955,1344,90.178571429,5.9,12.3,28.958673916,388,251.01990291,NA,NA,NA,NA,0,2013,2012,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"1837",3216,2014,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1256,4923.87,10,3.3,2.9,6.5,12.1,22.4,8.671357361,17.1,71.005819838,19.7,395,250.3,369,5.4491486628,4.7171977447,16592,1386,90.18759019,5.6084875265,12.7,28.884670515,382,244.06450459,NA,NA,NA,NA,0,2014,2013,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"1838",3217,2015,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1210,4652.16,10,3.3,2.9,6.154410865,12.1,21.8,8.3,15.2,85.928643725,19.7,366,229,339,4.9760007046,4.2848697232,17265,1395,89.103942652,6.0659425559,12.1,30.256430426,385,245.34482099,NA,NA,NA,NA,0,2015,2014,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"1839",3218,2016,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1228,4651.6,11.6,3.3,3.9,6.1287916459,14.5,21.3,8.1,16.1,85.651568826,23.5,355,222.15964204,305,4.4636976979,4.133329881,17746,1457,89.087165408,5.0320442245,12.5,30.994359642,385,245.34482099,NA,NA,NA,NA,0,2016,2015,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"1840",3219,2017,"Pelham",0,"Town","Hampshire","Open town meeting","1321.0",1743,NA,25015,"Massachusetts",1344,4859.2,11.818070886,3.3806639708,4.0656681954,6.119326874,15.258144091,18.9,8.1,15.3,85.651568826,20.346192088,270,169.2,276,4.0058636555,3.8489137107,18899,1538,91.287386216,4.4266174179,11.6,30.952669168,390.66666667,248.897799,NA,NA,NA,NA,0,2017,2016,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"1842",3227,2011,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4693,5872.2,10.6,3.1,3.6,7.76,20.9,22.1,NA,NA,NA,20.7,NA,NA,2194,18.9,8.3,100457,1769,86.32,8.8,8.3,24.1,6299,427.6,NA,NA,NA,NA,0,2011,2010,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"1843",3228,2012,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4692,5675.99,10.2,3,3.6,7.8,19.9,23.1,NA,21,NA,21.1,1160,235.7,2213,19.5,4.4,53185,5117,86.456908345,9.1,10.9,24.728756039,6280,434.73023881,NA,NA,NA,NA,0,2012,2011,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"1844",3229,2013,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.2,3.8,7.7,19.1,23.1,NA,21,NA,20.8,1414,285.7,2102,17.698071904,4.7,54940,5350,88.448598131,7.8,10.8,24.961102093,2179,443.299018,NA,NA,NA,NA,0,2013,2012,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"1845",3230,2014,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.1,3.6,7.7,17.8,24.7,8.7645680153,23.1,80.249697425,21.1,1398,281,2017,16.970257877,4.2883817477,58071,5871,88.62204054,6.9141127507,10.7,25.479554282,2161.3333333,447.83954028,NA,NA,NA,NA,0,2014,2013,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"1846",3231,2015,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4881,5465.93,11,3.1,3.6,7.4893572292,17.8,25.8,8.6,23.9,87.434307432,21.1,1502,300.5,1935,16.304485208,3.8936488901,61488,6281,89.87422385,7.1697401667,11.2,25.177076626,2023.6666667,431.83009609,NA,NA,NA,NA,0,2015,2014,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"1847",3232,2016,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",4926,5551.6,13.3,3.3,4.2,7.3034462381,17.2,26.4,8.3,24.7,85.824549068,20.5,1490,298.14370527,1794,15.186401652,4.0607678789,64212,6734,90.406890407,6.0337647721,11.5,26.407406765,2023.6666667,431.83009609,NA,NA,NA,NA,0,2016,2015,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"1848",3233,2017,"Pembroke",0,"Town","Plymouth","Open town meeting","17837.0",1712,NA,25023,"Massachusetts",5179,5736.3,12.932690816,3.2979653377,4.157563458,7.2241992883,16.179049691,27.8,8.3,22.9,85.824549068,22.659203492,1176,234.3,1613,13.689097097,3.3779891904,66023,6928,91.021939954,5.2292076211,12.4,27.678274419,1854.3333333,404.35479135,NA,NA,NA,NA,0,2017,2016,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"1850",3241,2011,"Pepperell",0,"Town","Middlesex","Open town meeting","11497.0",1775,NA,25017,"Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,NA,NA,NA,NA,0,2011,2010,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
