"","TownName","ratio","year"
"603","paxton",0,2011
"604","pittsfield",0,2011
"605","plainfield",0,2011
"606","plymouth",0,2011
"607","plympton",0,2011
"608","rehoboth",0,2011
"609","richmond",0,2011
"610","rowley",0,2011
"611","royalston",0,2011
"612","rutland",0,2011
"613","seekonk",0,2011
"614","shrewsbury",0,2011
"615","southbridge",0,2011
"616","stockbridge",0,2011
"617","stoneham",0,2011
"618","stow",0,2011
"619","shelburne",0,2011
"620","sherborn",0,2011
"621","phillipston",0,2011
"622","new braintree",0,2011
"623","newburyport",0,2011
"624","uxbridge",0,2011
"625","newton",0,2011
"626","norfolk",0,2011
"627","north andover",0,2011
"628","rowe",0,2011
"629","russell",0,2011
"630","north reading",0,2011
"631","sterling",0,2011
"632","stoughton",0,2011
"633","sturbridge",0,2011
"634","sudbury",0,2011
"635","sunderland",0,2011
"636","swampscott",0,2011
"637","warwick",0,2011
"638","wellfleet",0,2011
"639","peru",0,2011
"640","middlefield",0,2011
"641","middleton",0,2011
"642","milford",0,2011
"643","millis",0,2011
"644","orange",0,2011
"645","peabody",0,2011
"646","pelham",0,2011
"647","princeton",0,2011
"648","sharon",0,2011
"649","southwick",0,2011
"650","springfield",0,2011
"651","revere",0,2011
"652","rochester",0,2011
"653","whately",0,2011
"654","williamstown",0,2011
"655","rockport",0,2011
"656","winchendon",0,2011
"657","windsor",0,2011
"658","worcester",0,2011
"659","wrentham",0,2011
"660","truro",0,2011
"661","tyngsborough",0,2011
"662","upton",0,2011
"663","wakefield",0,2011
"664","west tisbury",0,2011
"665","westfield",0,2011
"666","westminster",0,2011
"667","sandisfield",0,2011
"668","sandwich",0,2011
"669","saugus",0,2011
"670","savoy",0,2011
"671","weston",0,2011
"672","westwood",0,2011
"673","weymouth",0,2011
"674","swansea",0,2011
"675","taunton",0,2011
"676","west newbury",0,2011
"677","south hadley",0,2011
"678","southampton",0,2011
"679","southborough",0,2011
"680","templeton",0,2011
"681","tisbury",0,2011
"682","tolland",0,2011
"683","walpole",0,2011
"684","waltham",0,2011
"685","warren",0,2011
"686","watertown",0,2011
"687","wayland",0,2011
"688","webster",0,2011
"689","wellesley",0,2011
"690","wendell",0,2011
"691","topsfield",0,2011
"692","west stockbridge",0,2011
"693","westborough",0,2011
"694","westport",0,2011
"695","wales",0,2011
"696","salem",0,2011
"697","salisbury",0,2011
"698","wilbraham",0,2011
"699","wilmington",0,2011
"700","winthrop",0,2011
"701","woburn",0,2011
"702","worthington",0,2011
"703","petersham",0,2012
"704","plainville",0,2012
"705","quincy",0,2012
"706","rockland",0,2012
"707","scituate",0,2012
"708","spencer",0,2012
"709","tyringham",0,2012
"710","otis",0,2012
"711","sheffield",0,2012
"712","northborough",0,2012
"713","westhampton",0,2012
"714","ware",0,2012
"715","wareham",0,2012
"716","washington",0,2012
"717","wenham",0,2012
"718","west boylston",0,2012
"719","west bridgewater",0,2012
"720","westford",0,2012
"721","whitman",0,2012
"722","williamsburg",0,2012
"723","yarmouth",0,2012
"724","west brookfield",0,2012
"725","winchester",0,2012
"726","beverly",0,2012
"727","billerica",0,2012
"728","boxford",0,2012
"729","boylston",0,2012
"730","adams",0,2012
"731","alford",0,2012
"732","amherst",0,2012
"733","ashburnham",0,2012
"734","ashby",0,2012
"735","auburn",0,2012
"736","avon",0,2012
"737","barre",0,2012
"738","belchertown",0,2012
"739","berlin",0,2012
"740","bernardston",0,2012
"741","blandford",0,2012
"742","bolton",0,2012
"743","bourne",0,2012
"744","boxborough",0,2012
"745","brockton",0,2012
"746","burlington",0,2012
"747","chatham",0,2012
"748","cheshire",0,2012
"749","chester",0,2012
"750","clarksburg",0,2012
"751","dartmouth",0,2012
"752","dennis",0,2012
"753","douglas",0,2012
"754","ashfield",0,2012
"755","acton",0,2012
"756","attleboro",0,2012
"757","barnstable",0,2012
"758","blackstone",0,2012
"759","boston",0,2012
"760","charlton",0,2012
"761","clinton",0,2012
"762","cummington",0,2012
"763","duxbury",0,2012
"764","eastham",0,2012
"765","essex",0,2012
"766","dunstable",0,2012
"767","everett",0,2012
"768","florida",0,2012
"769","granville",0,2012
"770","great barrington",0,2012
"771","hardwick",0,2012
"772","hubbardston",0,2012
"773","ipswich",0,2012
"774","leverett",0,2012
"775","mansfield",0,2012
"776","mashpee",0,2012
"777","middleborough",0,2012
"778","millville",0,2012
"779","nantucket",0,2012
"780","grafton",0,2012
"781","hawley",0,2012
"782","fitchburg",0,2012
"783","gloucester",0,2012
"784","gosnold",0,2012
"785","sutton",0,2012
"786","marion",0,2012
"787","mendon",0,2012
"788","holden",0,2012
"789","townsend",0,2012
"790","new ashford",0,2012
"791","newbury",0,2012
"792","norton",0,2012
"793","orleans",0,2012
"794","dedham",0,2012
"795","easthampton",0,2012
"796","erving",0,2012
"797","deerfield",0,2012
"798","dighton",0,2012
"799","brookfield",0,2012
"800","brookline",0,2012
"801","hadley",0,2012
"802","bridgewater",0,2012
"803","brimfield",0,2012
"804","dracut",0,2012
"805","colrain",0,2012
"806","dalton",0,2012
"807","east longmeadow",0,2012
"808","easton",0,2012
"809","edgartown",0,2012
"810","egremont",0,2012
"811","falmouth",0,2012
"812","franklin",0,2012
"813","foxborough",0,2012
"814","chilmark",0,2012
"815","framingham",0,2012
"816","abington",0,2012
"817","acushnet",0,2012
"818","agawam",0,2012
"819","amesbury",0,2012
"820","andover",0,2012
"821","arlington",0,2012
"822","ashland",0,2012
"823","athol",0,2012
"824","ayer",0,2012
"825","belmont",0,2012
"826","berkley",0,2012
"827","chicopee",0,2012
"828","conway",0,2012
"829","danvers",0,2012
"830","huntington",0,2012
"831","kingston",0,2012
"832","lanesborough",0,2012
"833","leicester",0,2012
"834","littleton",0,2012
"835","longmeadow",0,2012
"836","lunenburg",0,2012
"837","marlborough",0,2012
"838","marshfield",0,2012
"839","maynard",0,2012
"840","melrose",0,2012
"841","merrimac",0,2012
"842","millbury",0,2012
"843","montague",0,2012
"844","monterey",0,2012
"845","mount washington",0,2012
"846","buckland",0,2012
"847","cambridge",0,2012
"848","canton",0,2012
"849","carlisle",0,2012
"850","cohasset",0,2012
"851","concord",0,2012
"852","dover",0,2012
"853","dudley",0,2012
"854","east bridgewater",0,2012
"855","east brookfield",0,2012
"856","braintree",0,2012
"857","brewster",0,2012
"858","becket",0,2012
"859","bedford",0,2012
"860","bellingham",0,2012
"861","chelmsford",0,2012
"862","chelsea",0,2012
"863","chesterfield",0,2012
"864","hanson",0,2012
"865","harvard",0,2012
"866","harwich",0,2012
"867","hatfield",0,2012
"868","carver",0,2012
"869","charlemont",0,2012
"870","hampden",0,2012
"871","hancock",0,2012
"872","haverhill",0,2012
"873","heath",0,2012
"874","holbrook",0,2012
"875","hudson",0,2012
"876","holyoke",0,2012
"877","hopedale",0,2012
"878","hopkinton",0,2012
"879","milton",0,2012
"880","medway",0,2012
"881","lenox",0,2012
"882","leominster",0,2012
"883","lexington",0,2012
"884","leyden",0,2012
"885","lincoln",0,2012
"886","methuen",0,2012
"887","hinsdale",0,2012
"888","holland",0,2012
"889","holliston",0,2012
"890","hingham",0,2012
"891","natick",0,2012
"892","manchester",0,2012
"893","freetown",0,2012
"894","gardner",0,2012
"895","georgetown",0,2012
"896","gill",0,2012
"897","granby",0,2012
"898","greenfield",0,2012
"899","groton",0,2012
"900","groveland",0,2012
"901","monroe",0,2012
"902","monson",0,2012
"903","montgomery",0,2012
"904","nahant",0,2012
"905","lee",0,2012
"906","hanover",0,2012
"907","mattapoisett",0,2012
"908","medfield",0,2012
"909","medford",0,2012
"910","reading",0,2012
"911","new bedford",0,2012
"912","needham",0,2012
"913","new marlborough",0,2012
"914","lowell",0,2012
"915","halifax",0,2012
"916","hamilton",0,2012
"917","marblehead",0,2012
"918","fairhaven",0,2012
"919","fall river",0,2012
"920","aquinnah",0,2012
"921","goshen",0,2012
"922","hull",0,2012
"923","lakeville",0,2012
"924","lancaster",0,2012
"925","lawrence",0,2012
"926","ludlow",0,2012
"927","lynn",0,2012
"928","lynnfield",0,2012
"929","malden",0,2012
"930","tewksbury",0,2012
"931","shirley",0,2012
"932","shutesbury",0,2012
"933","somerset",0,2012
"934","somerville",0,2012
"935","provincetown",0,2012
"936","randolph",0,2012
"937","raynham",0,2012
"938","norwood",0,2012
"939","oak bluffs",0,2012
"940","west springfield",0,2012
"941","northampton",0,2012
"942","pembroke",0,2012
"943","pepperell",0,2012
"944","northfield",0,2012
"945","norwell",0,2012
"946","new salem",0,2012
"947","north adams",0,2012
"948","north attleboro",0,2012
"949","north brookfield",0,2012
"950","northbridge",0,2012
"951","oakham",0,2012
"952","oxford",0,2012
"953","palmer",0,2012
"954","paxton",0,2012
"955","pittsfield",0,2012
"956","plainfield",0,2012
"957","plymouth",0,2012
"958","plympton",0,2012
"959","rehoboth",0,2012
"960","richmond",0,2012
"961","rowley",0,2012
"962","royalston",0,2012
"963","rutland",0,2012
"964","seekonk",0,2012
"965","shrewsbury",0,2012
"966","southbridge",0,2012
"967","stockbridge",0,2012
"968","stoneham",0,2012
"969","stow",0,2012
"970","shelburne",0,2012
"971","sherborn",0,2012
"972","phillipston",0,2012
"973","new braintree",0,2012
"974","newburyport",0,2012
"975","uxbridge",0,2012
"976","newton",0,2012
"977","norfolk",0,2012
"978","north andover",0,2012
"979","rowe",0,2012
"980","russell",0,2012
"981","north reading",0,2012
"982","sterling",0,2012
"983","stoughton",0,2012
"984","sturbridge",0,2012
"985","sudbury",0,2012
"986","sunderland",0,2012
"987","swampscott",0,2012
"988","warwick",0,2012
"989","wellfleet",0,2012
"990","peru",0,2012
"991","middlefield",0,2012
"992","middleton",0,2012
"993","milford",0,2012
"994","millis",0,2012
"995","orange",0,2012
"996","peabody",0,2012
"997","pelham",0,2012
"998","princeton",0,2012
"999","sharon",0,2012
"1000","southwick",0,2012
"1001","springfield",0,2012
"1002","revere",0,2012
"1003","rochester",0,2012
"1004","whately",0,2012
"1005","williamstown",0,2012
"1006","rockport",0,2012
"1007","winchendon",0,2012
"1008","windsor",0,2012
"1009","worcester",0,2012
"1010","wrentham",0,2012
"1011","truro",0,2012
"1012","tyngsborough",0,2012
"1013","upton",0,2012
"1014","wakefield",0,2012
"1015","west tisbury",0,2012
"1016","westfield",0,2012
"1017","westminster",0,2012
"1018","sandisfield",0,2012
"1019","sandwich",0,2012
"1020","saugus",0,2012
"1021","savoy",0,2012
"1022","weston",0,2012
"1023","westwood",0,2012
"1024","weymouth",0,2012
"1025","swansea",0,2012
"1026","taunton",0,2012
"1027","west newbury",0,2012
"1028","south hadley",0,2012
