"","X","Year","Name","Event","Type","County","Form.of.government","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","Years.of.Potential.Life.Lost.Rate","Percent_FairOrPoor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","Precent.LBW","PercentSmokers","PercentObese","Food.Environment.Index","Percent.Physically.Inactive","Percent.With.AccessToExercise","PercentExcessive.Drinking","NumberChlamydia.Cases","Chlamydia.Rate","Teen.Births","Teen.Birth.Rate","PercentUninsured","NumberMedicare.Enrollees","PercentDiabetics","PercentReceiving.HbA1c","PercentUnemployed","PercentChildren.in.Poverty","PercentSingle.Parent.Households","NumberViolent.Crimes","Violent.Crime.Rate","T21year","MAYOR","LENGTH.OF.TERM","NEXT.ELECTION","mayor_ind","year_dummy","year_dummy-2"
"164",289,2013,"Barnstable",0,"City","Barnstable","Council-manager","45193.0",1638,NA,25001,"Massachusetts",2391,5860.91,8.8,2.6,3.3,7.1,14.5,18.2,NA,18.3,NA,18,363,168.1,732,17.441029307,6,49010,3551,89.63672205,8.2,15.2,29.699951864,1030,465.86706134,NA,NA,NA,NA,0,2013,2011
"165",290,2014,"Barnstable",0,"City","Barnstable","Council-manager","45193.0",1638,NA,25001,"Massachusetts",2391,5860.91,8.3,2.5,3.3,6.9,14.2,18,8.5642138397,17.5,74.798506633,17.9,436,202.1,695,16.863610997,5.9225914648,50311,3599,90.3584329,7.3777719178,15.4,30.479638502,1025,467.75601846,NA,NA,NA,NA,0,2014,2012
"166",291,2015,"Barnstable",0,"City","Barnstable","Council-manager","45193.0",1638,NA,25001,"Massachusetts",2465,5631.84,8.3,2.5,3.3,6.9521735624,14.2,18.3,8.3,17.3,90.215296821,17.9,441,204.7,661,16.412573869,4.8112670288,52218,3734,89.850026781,7.5928582683,14.9,33.652988403,972.66666667,448.38432591,NA,NA,NA,NA,0,2015,2013
"167",292,2016,"Barnstable",0,"City","Barnstable","Council-manager","45193.0",1638,NA,25001,"Massachusetts",2492,5708.9,9.2,2.9,3.6,6.8678113019,12.1,19.7,8,17.2,88.498202772,20.3,460,213.53337387,589,15.025510204,4.740021519,53328,3873,90.188484379,7.0085806573,13.4,33.315362352,972.66666667,448.38432591,NA,NA,NA,NA,0,2016,2014
"168",293,2017,"Barnstable",0,"City","Barnstable","Council-manager","45193.0",1638,NA,25001,"Massachusetts",2522,6219.1,10.321993839,3.2377777896,3.6318499821,6.9769457445,11.935867023,19.9,8,15.8,88.498202772,21.024641889,211,98.1,524,13.750754455,4.0791221446,54208,3907,89.787560788,6.297380807,11.5,31.212544365,926.33333333,428.25001541,NA,NA,NA,NA,0,2017,2015
"169",300,2010,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7182,6025.6,13,3.56,3.51,7.14,20.71,24,NA,NA,NA,18.44,1620,206.4,4652,25.1,9.5,102030,3059,82.25,5.8,11.9,9.10393517310936,9975,426.618058582037,NA,NA,NA,NA,0,2010,NA
"170",301,2011,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,2011,NA
"171",302,2012,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,2012,2010
"172",303,2013,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,2013,2011
"173",304,2014,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,2014,2012
"174",305,2015,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,2015,2013
"175",306,2016,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,2016,2014
"176",307,2017,"Barre",0,"Town","Worcester","Open town meeting","5398.0",1774,NA,25027,"Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,2017,2015
"177",314,2010,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1488,6068,12.35,4.03,3.51,7.5,19.5,22.8,NA,NA,NA,16.27,287,218.9,837,25.1,10.7,44600,1378,88.03,5.1,14.8,10.5211602300143,1714,438.321693343597,NA,NA,NA,NA,0,2010,NA
"178",315,2011,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,NA,NA,NA,NA,0,2011,NA
"179",316,2012,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,NA,NA,NA,NA,0,2012,2010
"180",317,2013,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,NA,NA,NA,NA,0,2013,2011
"181",318,2014,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,NA,NA,NA,NA,0,2014,2012
"182",319,2015,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,NA,NA,NA,NA,0,2015,2013
"183",320,2016,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,NA,NA,NA,NA,0,2016,2014
"184",321,2017,"Becket",0,"Town","Berkshire","Open town meeting","1779.0",1765,NA,25003,"Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,NA,NA,NA,NA,0,2017,2015
"185",328,2010,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",11392,4628.9,10.17,2.78,2.8,7.24,14.12,21.5,NA,NA,NA,16.27,2182,148.7,4169,12.9,12.2,263400,7329,85.7,4.3,7.7,6.3940957129617,10582,240.213000058793,NA,NA,NA,NA,0,2010,NA
"186",329,2011,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,NA,NA,NA,NA,0,2011,NA
"187",330,2012,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,NA,NA,NA,NA,0,2012,2010
"188",331,2013,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,NA,NA,NA,NA,0,2013,2011
"189",332,2014,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,NA,NA,NA,NA,0,2014,2012
"190",333,2015,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,NA,NA,NA,NA,0,2015,2013
"191",334,2016,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",11297,4107.7,11.4,3,3.4,7.512710677,12.2,22.6,8.7,21.3,96.575642761,20.3,3669,238.67838916,3542,10.355059859,3.9803209994,151812,12704,89.829974811,4.6490301066,9.6,21.023948082,3797.3333333,257.33734459,NA,NA,NA,NA,0,2016,2014
"192",335,2017,"Bedford",0,"Town","Middlesex","Open town meeting","13320.0",1729,NA,25017,"Massachusetts",11403,4120.7,10.851879904,2.7181453215,3.4476376243,7.4287095215,11.843819748,22.6,8.8,19.8,96.575642761,19.020107134,3714,239.2,3216,9.3492177007,3.1822290785,154845,12976,91.199136868,4.0494548609,8.2,20.658011904,3164,206.55078468,NA,NA,NA,NA,0,2017,2015
"193",342,2010,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1142,4572.5,10.95,3.45,3.32,6.39,16.1,21.7,NA,NA,NA,16.23,233,151.8,435,6.9,12.2,32019,909,86.91,4.3,10.9,7.57120517280762,1179,256.907522008193,2017,NA,NA,NA,0,2010,NA
"194",343,2011,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1236,4907.1,10.4,3.5,3.1,6.35,14.7,21.3,NA,NA,NA,18.4,NA,NA,438,6.9,9.7,32125,513,88.694,6.6,10.1,25.1,1177,254.8,2017,NA,NA,NA,0,2011,NA
"195",344,2012,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1260,5078.42,9.7,3.3,2.8,6.3,13.5,22.3,NA,17.1,NA,17.7,274,176.8,433,6.9,3.9,15964,1366,87.8477306,6.9,11.8,27.047547453,1167,253.83139679,2017,NA,NA,NA,0,2012,2010
"196",345,2013,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1256,4923.87,9.7,3.2,2.7,6.7,12.6,22.3,NA,17.1,NA,17.9,320,202.4,392,5.8021639703,4.8,15955,1344,90.178571429,5.9,12.3,28.958673916,388,251.01990291,2017,NA,NA,NA,0,2013,2011
"197",346,2014,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1256,4923.87,10,3.3,2.9,6.5,12.1,22.4,8.671357361,17.1,71.005819838,19.7,395,250.3,369,5.4491486628,4.7171977447,16592,1386,90.18759019,5.6084875265,12.7,28.884670515,382,244.06450459,2017,NA,NA,NA,0,2014,2012
"198",347,2015,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1210,4652.16,10,3.3,2.9,6.154410865,12.1,21.8,8.3,15.2,85.928643725,19.7,366,229,339,4.9760007046,4.2848697232,17265,1395,89.103942652,6.0659425559,12.1,30.256430426,385,245.34482099,2017,NA,NA,NA,0,2015,2013
"199",348,2016,"Belchertown",0,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1228,4651.6,11.6,3.3,3.9,6.1287916459,14.5,21.3,8.1,16.1,85.651568826,23.5,355,222.15964204,305,4.4636976979,4.133329881,17746,1457,89.087165408,5.0320442245,12.5,30.994359642,385,245.34482099,2017,NA,NA,NA,0,2016,2014
"200",349,2017,"Belchertown",1,"Town","Hampshire","Open town meeting","14649.0",1761,"2017-01-01",25015,"Massachusetts",1344,4859.2,11.818070886,3.3806639708,4.0656681954,6.119326874,15.258144091,18.9,8.1,15.3,85.651568826,20.346192088,270,169.2,276,4.0058636555,3.8489137107,18899,1538,91.287386216,4.4266174179,11.6,30.952669168,390.66666667,248.897799,2017,NA,NA,NA,0,2017,2015
"201",356,2010,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5482,4833.1,9.3,2.93,2.79,6.92,14.21,19.1,NA,NA,NA,17.44,798,121.9,1130,8.1,9.5,141036,3749,85.06,4.6,6.3,6.26063259720236,3701,188.942595349388,NA,NA,NA,NA,0,2010,NA
"202",357,2011,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5509,4814.5,9.2,2.9,2.8,7.06,13.6,19.4,NA,NA,NA,19.1,NA,NA,1135,8,8.5,141374,2055,84.4769,7.6,6,18.3,3689,187.4,NA,NA,NA,NA,0,2011,NA
"203",358,2012,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5404,4670.49,9,2.9,2.7,7.2,12.9,20.2,NA,19.9,NA,19.1,991,150.2,1119,8,3.3,71914,5493,86.710358638,7.6,6.8,18.510114708,3855,198.65952489,NA,NA,NA,NA,0,2012,2010
"204",359,2013,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5205,4535.71,9,2.9,2.8,7.2,12.6,20.2,NA,19.9,NA,19.2,1059,157.9,1051,7.128710185,3.6,73125,5684,88.142153413,6.2,6.7,18.512395597,1373,211.44871624,NA,NA,NA,NA,0,2013,2011
"205",360,2014,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5205,4535.71,8.9,2.8,2.7,7.3,11.8,19.8,9.1574897929,20.1,91.132891108,19.4,1347,199.4,998,6.7164229327,3.1408700473,76531,6046,89.33178961,5.60043183,8,18.520170417,1403.3333333,213.27383956,NA,NA,NA,NA,0,2014,2012
"206",361,2015,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5294,4367.63,8.9,2.8,2.7,7.3214631314,11.8,20.2,8.9,18.8,95.675635388,19.4,1484,217.6,917,6.1186769779,2.9359222889,79617,6188,90.303813833,6.0056451921,7.5,18.506847494,1356.3333333,203.20868968,NA,NA,NA,NA,0,2015,2013
"207",362,2016,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5404,4413.1,10.4,2.9,3.2,7.2373692954,12.3,19.7,8.7,19.3,95.744652307,19.6,1431,209.87174504,867,5.7400872599,3.0107932103,81498,6582,90.398055302,4.9942696296,7,18.363838676,1356.3333333,203.20868968,NA,NA,NA,NA,0,2016,2014
"208",363,2017,"Bellingham",0,"Town","Norfolk","Open town meeting","16332.0",1719,NA,25021,"Massachusetts",5536,4512.4,11.184260205,3.0607782385,3.3826188357,7.2425536941,11.767660861,20.5,8.8,17.7,95.744652307,19.392190869,1996,290.2,778,5.1111578283,2.7209275435,82866,6828,91.15407147,4.3471768599,6.4,18.381335134,1303.6666667,193.10128263,NA,NA,NA,NA,0,2017,2015
"209",370,2010,"Belmont",0,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",11392,4628.9,10.17,2.78,2.8,7.24,14.12,21.5,NA,NA,NA,16.27,2182,148.7,4169,12.9,12.2,263400,7329,85.7,4.3,7.7,6.3940957129617,10582,240.213000058793,2015,NA,NA,NA,0,2010,NA
"210",371,2011,"Belmont",0,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,2015,NA,NA,NA,0,2011,NA
"211",372,2012,"Belmont",0,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,2015,NA,NA,NA,0,2012,2010
"212",373,2013,"Belmont",0,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,2015,NA,NA,NA,0,2013,2011
"213",374,2014,"Belmont",0,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,2015,NA,NA,NA,0,2014,2012
"214",375,2015,"Belmont",1,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,2015,NA,NA,NA,0,2015,2013
"215",376,2016,"Belmont",2,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",11297,4107.7,11.4,3,3.4,7.512710677,12.2,22.6,8.7,21.3,96.575642761,20.3,3669,238.67838916,3542,10.355059859,3.9803209994,151812,12704,89.829974811,4.6490301066,9.6,21.023948082,3797.3333333,257.33734459,2015,NA,NA,NA,0,2016,2014
"216",377,2017,"Belmont",2,"Town","Middlesex","Representative town meeting","24729.0",1859,"2015-01-01",25017,"Massachusetts",11403,4120.7,10.851879904,2.7181453215,3.4476376243,7.4287095215,11.843819748,22.6,8.8,19.8,96.575642761,19.020107134,3714,239.2,3216,9.3492177007,3.1822290785,154845,12976,91.199136868,4.0494548609,8.2,20.658011904,3164,206.55078468,2015,NA,NA,NA,0,2017,2015
"217",384,2010,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5473,6562.9,15.23,3.87,3.93,8.04,22.71,26.9,NA,NA,NA,17.69,1135,208.1,3692,29.3,10,123923,4873,87.54,7,13.1,10.4997582355504,9961,611.3146917436,NA,NA,NA,NA,0,2010,NA
"218",385,2011,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5405,6481.3,15.5,3.8,4,8.08,22.1,27.5,NA,NA,NA,19.5,NA,NA,3673,29,8.8,122807,2577,88.5914,11.1,15.3,32.8,9997,612.7,NA,NA,NA,NA,0,2011,NA
"219",386,2012,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5443,6471.64,15.3,3.7,3.9,8.1,21.5,29,NA,28.8,NA,19.7,1264,231.6,3617,29.2,5.6,61242,6916,88.577212261,11.2,16.6,34.561816666,9988,608.6187681,NA,NA,NA,NA,0,2012,2010
"220",387,2013,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5471,6180.27,15.4,3.7,3.8,8.3,20.8,29,NA,28.8,NA,19.8,1284,234.2,3510,26.305928202,5.5,62320,7359,89.917108303,10,16.3,33.774259825,3316,603.3531884,NA,NA,NA,NA,0,2013,2011
"221",388,2014,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5471,6180.27,15.2,3.7,3.8,8.2,20.3,29.1,8.2896359783,28.3,80.901903207,20.4,1415,257.8,3348,25.12419517,5.1917058244,63385,7815,90.6078055,9.3345083513,17.6,34.747110066,3247.6666667,589.13982441,NA,NA,NA,NA,0,2014,2012
"222",389,2015,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5630,6029.99,15.2,3.7,3.8,8.1907663464,20.3,28.6,8,26.4,95.487383386,20.4,1628,295.4,3213,24.234058922,5.0705845309,65614,8175,90.311926606,9.7096201195,19.2,34.224549489,3063.3333333,555.71748025,NA,NA,NA,NA,0,2015,2013
"223",390,2016,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",5935,6197.2,15.3,4,4.6,8.0999424516,18.6,28.2,7.8,26.6,95.07154126,20.3,1519,275.63955999,3013,22.912896014,4.7885336389,66664,8588,91.336748952,7.3397988357,17.4,34.524557323,3063.3333333,555.71748025,NA,NA,NA,NA,0,2016,2014
"224",391,2017,"Berkley",0,"Town","Bristol","Open town meeting","6411.0",1735,NA,25005,"Massachusetts",6139,6409.8,15.755457609,4.2965625531,4.5390659675,8.1037475249,17.31210397,28.3,8,25.1,95.07154126,17.664877204,1352,244.6,2732,20.984231103,4.3037425468,67712,8844,90.682948892,6.2986440419,17.3,34.45954626,2872,518.29928535,NA,NA,NA,NA,0,2017,2015
"225",398,2010,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7182,6025.6,13,3.56,3.51,7.14,20.71,24,NA,NA,NA,18.44,1620,206.4,4652,25.1,9.5,102030,3059,82.25,5.8,11.9,9.10393517310936,9975,426.618058582037,NA,NA,NA,NA,0,2010,NA
"226",399,2011,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,2011,NA
"227",400,2012,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7136,5733.56,12.5,3.4,3.5,7.3,19.7,25.5,NA,23,NA,20.1,1901,242.5,4480,24.1,4.6,52950,4990,84.96993988,9.3,14,27.250408292,10307,438.41832518,NA,NA,NA,NA,0,2012,2010
"228",401,2013,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7215,5573.47,12.7,3.4,3.5,7.4,19.1,25.5,NA,23,NA,20.6,2164,271,4377,21.899453639,4.8,54228,5261,87.56890325,8.1,16.2,28.044191042,3544,451.05153457,NA,NA,NA,NA,0,2013,2011
"229",402,2014,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7215,5573.47,11.9,3.3,3.4,7.4,18.1,25.6,8.6497819162,23.3,87.529303038,21.2,2310,288.3,4271,21.259544645,4.5474205696,56493,5542,86.95416817,7.5072096261,15.1,28.271964508,3578,452.62797472,NA,NA,NA,NA,0,2014,2012
"230",403,2015,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7334,5555.56,11.9,3.3,3.4,7.3879568093,18.1,26,8.4,22.2,92.920185536,21.2,2320,287.8,4109,20.385483591,4.6573703414,59744,6002,88.837054315,7.9005526235,18,29.159634762,3556.6666667,447.12149301,NA,NA,NA,NA,0,2015,2013
"231",404,2016,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7506,5519.4,12.2,3.1,3.6,7.4786324786,15.8,26.1,8.2,22.6,91.200197357,19.3,2241,277.98348473,3837,19.079964794,4.1687247302,62144,6350,88.992125984,6.1922313848,15,29.380101871,3556.6666667,447.12149301,NA,NA,NA,NA,0,2016,2014
"232",405,2017,"Berlin",0,"Town","Worcester","Open town meeting","2866.0",1812,NA,25027,"Massachusetts",7872,5700.3,13.87208061,3.5785862145,3.951719279,7.4853725762,17.156909936,27,8.3,20.8,91.200197357,20.689806914,1709,211.2,3496,17.4595723,3.5293059096,66314,6869,89.634590188,5.2933292577,15.2,30.636828229,3492.6666667,435.18132417,NA,NA,NA,NA,0,2017,2015
"233",412,2010,"Bernardston",0,"Town","Franklin","Open town meeting","2129.0",1762,NA,25011,"Massachusetts",734,5943.2,12.33,3.61,3.6,6.78,19.03,22.2,NA,NA,NA,16.52,118,163.5,349,21.2,10.3,14548,431,86.31,4.9,14,10.5864176798549,832,386.579376547828,NA,NA,NA,NA,0,2010,NA
"234",413,2011,"Bernardston",0,"Town","Franklin","Open town meeting","2129.0",1762,NA,25011,"Massachusetts",708,5297.1,11.7,3.8,3.5,6.83,17.9,23.5,NA,NA,NA,17.9,NA,NA,351,21.3,9.3,14759,241,87.9668,7.9,15.8,33,774,359.7,NA,NA,NA,NA,0,2011,NA
"235",414,2012,"Bernardston",0,"Town","Franklin","Open town meeting","2129.0",1762,NA,25011,"Massachusetts",715,5245.39,11.9,3.9,3.5,7,18.5,24.6,NA,19.4,NA,19.3,98,136.6,342,21.9,4.4,7679,720,87.916666667,8,16.2,32.153351056,749,364.48930134,NA,NA,NA,NA,0,2012,2010
"236",415,2013,"Bernardston",0,"Town","Franklin","Open town meeting","2129.0",1762,NA,25011,"Massachusetts",694,5298.65,11.1,3.6,3.3,7.1,19,24.6,NA,19.4,NA,18.7,131,183.5,325,20.256793817,4.7,7736,731,89.876880985,6.7,16.6,32.858472332,246,357.66243433,NA,NA,NA,NA,0,2013,2011
"237",416,2014,"Bernardston",0,"Town","Franklin","Open town meeting","2129.0",1762,NA,25011,"Massachusetts",694,5298.65,10.3,4,3.3,7,18.7,24.9,8.7478858778,19.1,60.170655159,18.2,110,153.6,311,19.889997442,5.104203167,8056,744,89.91935484,6.2678729267,16.6,31.830103453,247.66666667,371.87187187,NA,NA,NA,NA,0,2014,2012
