"","Year","Name","Event","Type","County","Formofgovernment","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","YearsofPotentialLifeLostRate","Percent_FairOrPoor","PhysicallyUnhealthyDays","MentallyUnhealthyDays","PrecentLBW","PercentSmokers","PercentObese","FoodEnvironmentIndex","PercentPhysicallyInactive","PercentWithAccessToExercise","PercentExcessiveDrinking","NumberChlamydiaCases","ChlamydiaRate","TeenBirths","TeenBirthRate","PercentUninsured","NumberMedicareEnrollees","PercentDiabetics","PercentReceivingHbA1c","PercentUnemployed","PercentChildreninPoverty","PercentSingle-ParentHouseholds","NumberViolentCrimes","ViolentCrimeRate","T21year","MAYOR","LENGTHOFTERM","NEXTELECTION","mayor_ind","NearbyT21Ratio"
"37",2015,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,NA,NA,NA,NA,0,0
"38",2016,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,NA,NA,NA,NA,0,0.5
"39",2017,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,NA,NA,NA,NA,0,0.5
"40",2011,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"41",2012,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"42",2013,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6262,5062.28,13.3,3.1,3.1,7.7,15,23.6,NA,22.3,NA,19.3,2312,311.1,4299,24.172870606,5.5,79986,7037,88.887309933,7.8,16.9,31.600784286,2623,353.12398062,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"43",2014,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6262,5062.28,13,3,3.2,7.6,14.1,23.5,8.6893315931,21.6,91.987851859,19.4,2469,329.7,4156,23.260369502,5.4333729687,84440,7605,89.21761999,7.1352123652,17.1,31.958980369,2684.3333333,359.8075367,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"44",2015,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6450,5035.77,13,3,3.2,7.6378112138,14.1,24.2,8.5,20.3,96.711470897,19.4,2709,358.5,4009,22.401779178,4.8491653685,86259,7888,89.148073022,7.4639212686,16.9,33.364384595,2772,370.18571607,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"45",2016,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6582,5076.9,16.1,3.7,3.8,7.5831402481,14.8,24.3,8.5,20.6,96.724792406,20.4,2883,381.54199609,3758,21.030011696,4.7736040545,88608,8376,90.604106972,5.9682391661,15.5,33.949005748,2772,370.18571607,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
"46",2017,"Amesbury","0","City","Essex","Mayor-council",16283,1668,NA,"25009","Massachusetts",6885,5232.2,13.519249126,3.1882789865,3.9939707657,7.5189781901,14.623649328,25.5,8.6,20.5,96.724792406,19.052302415,2622,343.8,3438,19.291521943,3.9892544489,90769,8693,90.797193144,5.1584152071,16.6,34.150092026,2904,382.17465803,NA,"Ken Gray","2 years","Nov. 7, 2017",1,0
