"","year","TownName","Event","Sub"
"502",2018,"Wakefield",0,1
"503",2018,"Walpole",0,1
"504",2018,"Waltham",0,1
"505",2018,"Wareham",0,1
"506",2018,"Watertown",0,1
"507",2018,"Wayland",0,1
"508",2018,"Wellesley",0,1
"509",2018,"Westfield",0,1
"510",2018,"Westford",0,1
"511",2018,"Weston",0,1
"512",2018,"Westwood",0,1
"513",2018,"Whately",0,1
"514",2018,"Whitman",0,1
"515",2018,"Williamstown",0,1
"516",2018,"Wilmington",0,1
"517",2018,"Winchester",0,1
"518",2018,"Worcester",0,1
"519",2018,"Yarmouth",0,1
