"","CityTown","Nearby T21 Ratio","year"
"478","Watertown",0.005,2006
"479","Wayland",0.005,2006
"480","Wellesley",0.004,2006
"481","Westfield",0,2006
"482","Westford",0.005,2006
"483","Weston",0.005,2006
"484","Westwood",0.004,2006
"485","Whately",0,2006
"486","Whitman",0.005,2006
"487","Williamstown",0,2006
"488","Wilmington",0.005,2006
"489","Winchester",0.005,2006
"490","Worcester",0.004,2006
"491","Yarmouth",0,2006
"492","Abington",0.005,2006
"493","Acushnet",0.008,2006
"494","Agawam",0,2006
"495","Alford",0,2006
"496","Amesbury",0.009,2006
"497","Aquinnah",0,2006
"498","Ashburnham",0.005,2006
"499","Ashby",0.005,2006
"500","Ashfield",0,2006
"501","Athol",0,2006
"502","Auburn",0.004,2006
"503","Avon",0.005,2006
"504","Ayer",0.005,2006
"505","Barnstable",0,2006
"506","Barre",0.005,2006
"507","Becket",0,2006
"508","Bedford",0.005,2006
"509","Bellingham",0.005,2006
"510","Berkley",0.006,2006
"511","Berlin",0.004,2006
"512","Bernardston",0,2006
"513","Beverly",0.006,2006
"514","Billerica",0.005,2006
"515","Blandford",0,2006
"516","Bolton",0.004,2006
"517","Bourne",0.01,2006
"518","Boxborough",0.005,2006
"519","Boxford",0.006,2006
"520","Boylston",0.004,2006
"521","Brookfield",0.005,2006
"522","Burlington",0.005,2006
"523","Carlisle",0.005,2006
"524","Charlton",0.005,2006
"525","Chatham",0,2006
"526","Cheshire",0,2006
"527","Chester",0,2006
"528","Chesterfield",0,2006
"529","Chicopee",0,2006
"530","Chilmark",0,2006
"531","Clarksburg",0,2006
"532","Clinton",0.004,2006
"533","Colrain",0,2006
"534","Conway",0,2006
"535","Cummington",0,2006
"536","Dalton",0,2006
"537","Dartmouth",0.01,2006
"538","Dennis",0,2006
"539","Dighton",0.006,2006
"540","Douglas",0.005,2006
"541","Dracut",0.005,2006
"542","Dudley",0.005,2006
"543","Dunstable",0.005,2006
"544","East Bridgewater",0.005,2006
"545","East Brookfield",0.005,2006
"546","East Longmeadow",0,2006
"547","Easthampton",0,2006
"548","Edgartown",0,2006
"549","Erving",0,2006
"550","Everett",0.005,2006
"551","Fairhaven",0.01,2006
"552","Fall River",0.008,2006
"553","Fitchburg",0.005,2006
"554","Florida",0,2006
"555","Freetown",0.007,2006
"556","Gardner",0.005,2006
"557","Georgetown",0.006,2006
"558","Goshen",0,2006
"559","Gosnold",0,2006
"560","Granby",0,2006
"561","Granville",0,2006
"562","Groton",0.005,2006
"563","Groveland",0.007,2006
"564","Hampden",0,2006
"565","Hancock",0,2006
"566","Hanson",0.005,2006
"567","Hardwick",0.006,2006
"568","Harvard",0.005,2006
"569","Harwich",0,2006
"570","Haverhill",0.007,2006
"571","Hawley",0,2006
"572","Heath",0,2006
"573","Hingham",0.005,2006
"574","Hinsdale",0,2006
"575","Holden",0.005,2006
"576","Holland",0.006,2006
"577","Holliston",0.004,2006
"578","Hopkinton",0.004,2006
"579","Hubbardston",0.005,2006
"580","Huntington",0,2006
"581","Ipswich",0.007,2006
"582","Lakeville",0.006,2006
"583","Lancaster",0.004,2006
"584","Leicester",0.005,2006
"585","Leominster",0.005,2006
"586","Leyden",0,2006
"587","Littleton",0.005,2006
"588","Longmeadow",0,2006
"589","Ludlow",0,2006
"590","Lunenburg",0.005,2006
"591","Lynn",0.005,2006
"592","Lynnfield",0.005,2006
"593","Manchester-by-the-Sea",0.006,2006
