"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"50","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2010,"25009","Massachusetts",6,11,5,11,12,3,6,9,12,7,5,11,4,6,8,8,7,10,7,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"51","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2012,"25009","Massachusetts",6,9,6,12,9,7,9,9,8,8,5,8,10,7,9,7,7,8,11,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"52","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2013,"25009","Massachusetts",6,9,5,12,10,8,9,9,11,8,5,2,11,5,8,7,8,9,7,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"53","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2014,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,8,9,7,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"54","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2015,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,7,9,9,6,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"55","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2016,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,9,10,8,9,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"56","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2017,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,9,10,9,14,NA,"Ken Gray","2 years","Nov. 7, 2017",1
"57","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2011,"25015","Massachusetts",3,5,6,2,3,5,4,1,5,5,4,7,11,4,6,3,2,4,10,2015,NA,NA,NA,0
"58","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2010,"25015","Massachusetts",4,7,3,2,3,5,3,3,8,5,3,9,8,2,6,5,3,4,8,2015,NA,NA,NA,0
"59","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2012,"25015","Massachusetts",3,4,5,2,2,4,3,1,5,5,3,7,8,5,4,2,1,3,10,2015,NA,NA,NA,0
"60","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2013,"25015","Massachusetts",2,4,3,3,3,2,4,1,5,5,3,1,8,4,3,2,1,3,4,2015,NA,NA,NA,0
"61","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2014,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,1,3,9,2015,NA,NA,NA,0
"62","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2015,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,2,4,14,2015,NA,NA,NA,0
"63","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2016,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,2,3,10,2015,NA,NA,NA,0
"64","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,2015-08-15,2017,"25015","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,2,3,6,2015,NA,NA,NA,0
"65","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2011,"25009","Massachusetts",6,10,4,11,7,9,7,11,9,8,6,8,7,7,9,7,11,9,7,2015,NA,NA,NA,0
"66","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2010,"25009","Massachusetts",6,11,5,11,12,3,6,9,12,7,5,11,4,6,8,8,7,10,7,2015,NA,NA,NA,0
"67","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2012,"25009","Massachusetts",6,9,6,12,9,7,9,9,8,8,5,8,10,7,9,7,7,8,11,2015,NA,NA,NA,0
"68","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2013,"25009","Massachusetts",6,9,5,12,10,8,9,9,11,8,5,2,11,5,8,7,8,9,7,2015,NA,NA,NA,0
"69","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2014,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,8,9,7,2015,NA,NA,NA,0
"70","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2015,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,7,9,9,6,2015,NA,NA,NA,0
"71","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2016,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,9,10,8,9,2015,NA,NA,NA,0
"72","Andover","Town","Essex","Open town meeting","33201.0",1646,2015-02-01,2017,"25009","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,9,10,9,14,2015,NA,NA,NA,0
"73","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2011,"25007","Massachusetts",5,1,14,3,13,2,10,1,7,10,1,4,1,5,2,4,5,5,1,NA,NA,NA,NA,0
"74","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2010,"25007","Massachusetts",1,1,14,4,13,7,12,2,6,9,10,6,10,5,1,2,13,6,9,NA,NA,NA,NA,0
"75","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2012,"25007","Massachusetts",5,2,14,3,11,11,6,4,6,9,1,4,1,3,1,5,11,4,1,NA,NA,NA,NA,0
"76","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2013,"25007","Massachusetts",5,2,14,2,13,5,3,7,6,9,2,10,1,1,2,5,13,5,1,NA,NA,NA,NA,0
"77","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2014,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,13,5,2,NA,NA,NA,NA,0
"78","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,2015,"25007","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,10,5,3,NA,NA,NA,NA,0
